Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
Text,犬井,20,100,,,,,・・・まじで不安だった。,,,,
Text,なつ,20,100,,,,,おもしろかったでしょ！,,,,
Character,Aki,normal,0.5,,,,,,,,,
Text,あき,20,100,,,,,なつはどーこに行ってもその本持ってくるよな。,,,,
Text,なつ,20,100,,,,,えへへ、だってお兄ちゃんがくれたんだもん！,,,,
Character,Aki,normalsmile,0.5,,,,,,,,,
Text,あき,20,100,,,,,・・・落としてなくすなよ。,,,,
Text,なつ,20,100,,,,,うん！,,,,
Text,犬井,20,100,,,,,・・・・・・・・・・,,,,
Character,Aki,normal,0.5,,,,,,,,,
Text,あき,20,100,,,,,おいあんた、犬井だろ？,,,,
Text,犬井,20,100,,,,,えっ、うん。そう、だけど。<br>えっと・・・ちびくん？,,,,
Text,あき,20,100,,,,,ちびっていうな！・・・昔と変わんねぇな。,,,,
Text,犬井,20,100,,,,,そうだね・・・ちびくんも変わってない。<br>さっきまでねこだったから、びっくりしちゃった。<br>・・・えと、今日は弟くんと一緒なんだ,,,,
Text,あき,20,100,,,,,ねこ？<br>ま、なつとはほぼハッピーセットだからな。,,,,
Text,犬井,20,100,,,,,あーーーー、そだね、確かに。いつも一緒だった気がする。<br>この本、ちびくんが買ったんだ。いい本だね。<br>,,,,
Text,あき,20,100,,,,,俺じゃなくてなつと語り合いな。,,,,
Text,犬井,20,100,,,,,なつくん、面白かったよ。ありがとう。,,,,
Text,なつ,20,100,,,,,やったー！また一緒に読もうね！,,,,
Character,Aki,smile,0.5,,,,,,,,,
Text,あき,20,100,,,,,ほら、なつ行くぞ。ここにはまだ面白いものがあっからな。,,,,
Text,なつ,20,100,,,,,はーい、お兄ちゃん！いぬいさんもまたね！,,,,
Text,犬井,20,100,,,,,うん、ばいばい。,,,,
