Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
# ========== エンディング ==========,,,,,,,,,,,,
Bg,八百屋,,,,,,,,,,,
Character,中田てるお,決意,0.5,,,,,,,,,
Text,中田てるお,50,30,,,,,ふう……ようやく目当てのリュウグウノオトヒメノキリハズシ（アマモの別名）を買えたぞ。,,,,
Character,中田てるお,デフォルト,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,5円安いx5匹で25円の節約かあ…よね子も喜ぶかな,,,,
Character,妖精めんどもん,驚いた,0.5,,,,,,,,,
Text,妖精めんどもん,50,30,,,,,えっ、奥さんに言われて五円安いだけのリュウグウノオトヒメノキリハズシ（アマモの別名）のためにわざわざここまで来たのだ！？わざわざ？,,,,
Character,中田てるお,しぼん,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,そうだよ、どこぞの誰かさんのせいで色々サブクエストが増えて大変だったけど,,,,
Character,妖精めんどもん,赤面,0.3,,,,,,,,,
Text,妖精めんどもん,50,30,,,,,へえ……そうなんだ。ねえ、ちょっとおうちに入れてよ。魔王倒した打ち上げもしたいし、そんな無茶ぶりしてくる奥さん一目見てみたいし。<br>……………それに答えてボクのお願い聞いてくれたキミに興味持っちゃったし（ボソッ,,,,
HideCharacter,,,,,,,,,,,,
Text,,50,30,,,,,そして二人は家に帰り……,,,,
Bg,ナマケモノの家,,,,,,,,,,,
Character,中田てるお,ムスッと,0.5,,,,,,,,,
Text,中田てるお,50,30,,,,,妖精とはいえ女の子連れてきたなんて知られたら面倒だから隠れてよ,,,,
Character,妖精めんどもん,笑顔,0.5,,,,,,,,,
Text,妖精めんどもん,50,30,,,,,大丈夫なのだ、ボクのこと見える人はコントロールできるのだ！,,,,
Character,中田てるお,デフォルト,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,そこはご都合主義的なんだ,,,,
Text,中田てるお,50,30,,,,,よね子～ただいま！,,,,
Character,中田よね子,デフォルト,0.5,,,,,,,,,
Text,中田よね子,50,30,,,,,おかえり,,,,
Character,中田てるお,決意,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,よね子！ちゃんと魔王城の向こうの八百屋まで買ってきたぞ！25円得したよ！,,,,
Character,中田てるお,しぼん,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,よね子の頼みだから買ってきたけどぶっちゃけスーパーでよかったんじゃないかな！？,,,,
Character,中田よね子,デフォルト,0.3,,,,,,,,,
Text,中田よね子,50,30,,,,,そうね、ぶっちゃけスーパーで良かったわ。試したのよ。その5円安いリュウグウノオトヒメノキリハズシ（アマモの別名）を八百屋まで買ってきてという私のお願いに命を張ってくれるか、それくらい私を愛しているか、確かめたんだよ、あなたを,,,,
Character,妖精めんどもん,驚いた,0.5,,,,,,,,,
Text,妖精めんどもん,50,30,,,,,愛の確かめ方がめんどくさすぎるのだこいつ！,,,,
Character,中田よね子,デフォルト,0.3,,,,,,,,,
Text,中田よね子,50,30,,,,,ん？その子は誰？,,,,
Character,中田てるお,デフォルト,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,あっ,,,,
Character,妖精めんどもん,驚いた,0.3,,,,,,,,,
Text,妖精めんどもん,50,30,,,,,あっやべえのだ！思わず姿を出してしまったのだ,,,,
Character,中田よね子,怒り,0.3,,,,,,,,,
Text,中田よね子,50,30,,,,,ダーリン？？？その女の子は誰か説明してくれるかしら？？？,,,,
Character,中田てるお,しぼん,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,ああ～～！！！！はちゃめちゃにめんどくさいことになってしまった……,,,,
End,,,,,,,,,,,,
