Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
# ========== てる男と妖精の出会い ==========
Text,,,,,,,,てる男が道を歩いていると……ある一匹の妖精が話しかけてきた！,,,,
# ※本来てる男→めんどもんの順で出したいが現状バッチで同時表示になる
Character,中田てるお,デフォルト,0.5,,,,,,,,,
Character,妖精めんどもん,デフォルト,0.1,,,,,,,,,
Character,妖精めんどもん,笑顔,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,あっっっ！！！ようやくなんかそれっぽい奴を見つけたのだ！おい、そこのお前！,,,,
Character,中田てるお,しょぼん,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,うわ、なんかめんどくさそうな予感…,,,,
Character,妖精めんどもん,デフォルト,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,ボクの名前はめんどもん！お前に頼みたいことがあるのだ。,,,,
Character,妖精めんどもん,しょぼん,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,実は困ってることがあって…魔王のせいで住処の妖精の森が襲撃に遭っているのだ。,,,,
Character,妖精めんどもん,笑顔,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,ボクたち妖精には使えない火縄銃を貸して使い方を教えるから一緒に来て魔王を倒してほしいのだ！,,,,
Character,中田てるお,しょぼん,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,えぇ～っ…でも銃刀法とかあるし資格なしで銃持つのはダメじゃない？それにめんどくさいし…,,,,
Character,妖精めんどもん,むずっ,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,そういうめんどくさいのはどうでもいいのだ！魔王を倒してくれるのだ！？くれないのだ！？,,,,
Choice,はい,いいえ,,,,,,魔王を倒す旅に同行しますか？,,,,
