Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
# ========== いいえルート ==========
# 泣いた差分があるので使用。なければむずっに変更
Character,妖精めんどもん,泣いた,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,なんでなのだ！！！ボクのこときらいなのだ！？いつもいつもそうなのだ！皆してボクをのけ者にするのだ！うわああああああああん！！！！！！！！,,,,
Character,中田てるお,しょぼん,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,あわわ…お、落ち着いて…！分かった、分かったよ魔王を倒せばいいんでしょ！しょうがないからやりますよ！,,,,
# 泣いたのまま継続
Text,めんどもん,50,30,,,,,ぐすっ、うう…ずびっ。,,,,
Character,妖精めんどもん,笑顔,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,な～んだ、それなら最初から受けるのだ！やっぱり可愛いボクの願いは誰もかれも受けざるを得ないのだ！わ～はっはっはっはっは！,,,,
Character,中田てるお,しょぼん,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,……同情して損したかも……,,,,
End,,,,,,,,,,,,
