Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,WaitType,Text,PageCtrl,Voice,WindowType,English
# ========== はいルート ==========
# めんどもんむずっのまま継続
Text,めんどもん,50,30,,,,,ええ…そうやすやすと人の誘いに乗るのだ？警戒心無さそうで嫌なのだ、もっと慎重な奴の方が魔王を倒せそうなのだ,,,,
Character,中田てるお,ムスッと,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,いや酷っ！？自分がそういうめんどいのはいいって言ったんじゃん！？ていうかやすやすと乗ってないし！,,,,
# めんどもんむずっのまま継続
Text,めんどもん,50,30,,,,,はあ…まあ他に適任もいなさそうだしこんなんでもいいのだ。人生において妥協は大事なのだ。,,,,
Character,妖精めんどもん,笑顔,0.3,,,,,,,,,
Text,めんどもん,50,30,,,,,さあ、魔王を倒す旅にしゅっぱーつ！なのだ！,,,,
Character,中田てるお,ムスッと,0.3,,,,,,,,,
Text,中田てるお,50,30,,,,,こいつ瓶に詰めて売り飛ばしてやりたいな,,,,
End,,,,,,,,,,,,
